,word,meaning,der
159,b'refundable',b'adj. \xed\x99\x98\xeb\xb6\x88 \xea\xb0\x80\xeb\x8a\xa5\xed\x95\x9c',b'refundable refundables refundabling refundabled'
160,b'register',b'v. \xeb\x93\xb1\xeb\xa1\x9d\xed\x95\x98\xeb\x8b\xa4',b'register registers registering registered'
161,b'reward',b'n. \xeb\xb3\xb4\xec\x83\x81',b'reward rewards rewarding rewarded'
162,b'subscribe',"b'v. \xea\xb5\xac\xeb\x8f\x85\xed\x95\x98\xeb\x8b\xa4, \xea\xb0\x80\xec\x9e\x85\xed\x95\x98\xeb\x8b\xa4'",b'subscribe subscribes subscribing subscribed'
163,b'subscription',b'n. \xea\xb5\xac\xeb\x8f\x85',b'subscription subscriptions subscriptioning subscriptioned'
164,b'subscriber',b'n. \xea\xb5\xac\xeb\x8f\x85\xec\x9e\x90',b'subscriber subscribers subscriberring subscriberred'
165,b'valid',"b'adj. \xec\x9c\xa0\xed\x9a\xa8\xed\x95\x9c, \xed\x83\x80\xeb\x8b\xb9\xed\x95\x9c'",b'valid valids validding validded'
166,b'voucher',"b'n. \xed\x95\xa0\xec\x9d\xb8\xea\xb6\x8c, \xec\x83\x81\xed\x92\x88\xea\xb6\x8c'",b'voucher vouchers voucherring voucherred'
167,b'applicant',b'n. \xec\xa7\x80\xec\x9b\x90\xec\x9e\x90',b'applicant applicants applicanting applicanted'
168,b'application',"b'n. \xec\xa7\x80\xec\x9b\x90, \xec\x8b\xa0\xec\xb2\xad'",b'application applications applicationing applicationed'
169,b'asset',"b'n. \xec\x9e\x90\xec\x82\xb0, \xec\x9e\xac\xec\x9b\x90'",b'asset assets assetting assetted'
170,b'candidate',"b'n. \xec\xa7\x80\xec\x9b\x90\xec\x9e\x90, \xed\x9b\x84\xeb\xb3\xb4\xec\x9e\x90'",b'candidate candidates candidating candidated'
171,b'career',"b'n. \xea\xb2\xbd\xeb\xa0\xa5, \xec\xa7\x81\xec\x9e\xa5 \xec\x83\x9d\xed\x99\x9c'",b'career careers careering careered'
172,b'certificate',"b'n. \xec\xa6\x9d\xec\x84\x9c, \xec\xa6\x9d\xeb\xaa\x85\xec\x84\x9c'",b'certificate certificates certificating certificated'
173,b'clerical',b'adj. \xec\x82\xac\xeb\xac\xb4\xec\xa7\x81\xec\x9d\x98',b'clerical clericals clericalling clericalled'
174,b'degree',b'n. \xed\x95\x99\xec\x9c\x84',b'degree degrees degreeing degreeed'
175,b'diploma',b'n. \xec\xa1\xb8\xec\x97\x85 \xec\xa6\x9d\xec\x84\x9c',b'diploma diplomas diplomaing diplomaed'
176,b'employ',b'v. \xea\xb3\xa0\xec\x9a\xa9\xed\x95\x98\xeb\x8b\xa4',b'employ employs employing employed'
177,b'employer',b'n. \xea\xb3\xa0\xec\x9a\xa9\xec\xa3\xbc',b'employer employers employering employered'
178,b'employee',"b'n. \xea\xb3\xa0\xec\x9a\xa9\xec\x9d\xb8, \xec\xa7\x81\xec\x9b\x90'",b'employee employees employeeing employeeed'
179,b'employment',"b'n. \xec\xb1\x84\xec\x9a\xa9, \xec\xb7\xa8\xec\x97\x85'",b'employment employments employmenting employmented'
180,b'familiarity',"b'n. \xec\xb9\x9c\xec\x88\x99\xed\x95\xa8, \xec\x9d\xb5\xec\x88\x99\xed\x95\xa8'",b'familiarity familiarities familiaritying familiaritied'
181,b'experienced',b'a. \xea\xb2\xbd\xed\x97\x98\xec\x9e\x88\xeb\x8a\x94',b'experience experiences experiencing experienced'
182,b'ideal',b'adj. \xec\x9d\xb4\xec\x83\x81\xec\xa0\x81\xec\x9d\xb8',b'ideal ideals idealing idealed'
183,b'managerial',"b'adj. \xea\xb2\xbd\xec\x98\x81\xec\x9d\x98, \xea\xb4\x80\xeb\xa6\xac\xec\x9d\x98'",b'managerial managerials managerialing managerialed'
184,b'newcomer',b'n. \xec\x8b\xa0\xec\x9e\x85\xec\x82\xac\xec\x9b\x90',b'newcomer newcomers newcomerring newcomerred'
185,b'pension',b'n. \xec\x97\xb0\xea\xb8\x88',b'pension pensions pensioning pensioned'
186,b'personnel',b'n. \xec\xa7\x81\xec\x9b\x90(\xeb\x93\xa4); \xec\x9d\xb8\xec\x82\xac\xea\xb3\xbc',b'personnel personnels personnelling personnelled'
187,b'position',"b'n. \xec\xa7\x81\xec\x9c\x84, \xec\xa7\x81\xec\xb1\x85'",b'position positions positioning positioned'
188,b'proficiency',"b'n. \xec\x88\x99\xeb\xa0\xa8, \xeb\x8a\xa5\xec\x88\x99'",b'proficiency proficiencies proficiencying proficiencied'
189,b'qualified',b'adj. \xec\x9e\x90\xea\xb2\xa9\xec\x9d\x84 \xea\xb0\x96\xec\xb6\x98',b'qualify qualifies qualifying qualified'
190,b'qualifications',b'n. \xec\x9e\x90\xea\xb2\xa9 \xec\x9a\x94\xea\xb1\xb4',b'qualification qualifications qualificationing qualificationed'
191,b'recruit',b'n. \xeb\xaa\xa8\xec\xa7\x91 v. \xec\xb1\x84\xec\x9a\xa9\xed\x95\x98\xeb\x8b\xa4',b'recruit recruits recruiting recruited'
192,b'reference',b'n. \xec\xb6\x94\xec\xb2\x9c\xec\x84\x9c',b'reference references referencing referenced'
193,b'requirement',"b'n. \xec\x9a\x94\xea\xb1\xb4, \xed\x95\x84\xec\x88\x98 \xec\xa1\xb0\xea\xb1\xb4'",b'requirement requirements requirementing requiremented'
194,b'wage',b'n. \xec\x9e\x84\xea\xb8\x88',b'wage wages waging waged'
195,b'accomplishment',"b'n. \xec\x97\x85\xec\xa0\x81, \xea\xb3\xb5\xec\xa0\x81'",b'accomplishment accomplishments accomplishmenting accomplishmented'
196,b'appoint',"b'v. \xec\x9e\x84\xeb\xaa\x85\xed\x95\x98\xeb\x8b\xa4, \xec\xa7\x80\xeb\xaa\x85\xed\x95\x98\xeb\x8b\xa4'",b'appoint appoints appointing appointed'
197,b'appraise',b'v. (\xec\x97\x85\xeb\xac\xb4\xeb\xa5\xbc) \xed\x8f\x89\xea\xb0\x80\xed\x95\x98\xeb\x8b\xa4',b'appraise appraises appraising appraised'
198,b'authorize',"b'v. \xec\x9e\xac\xea\xb0\x80\xed\x95\x98\xeb\x8b\xa4, \xea\xb6\x8c\xed\x95\x9c\xec\x9d\x84 \xeb\xb6\x80\xec\x97\xac\xed\x95\x98\xeb\x8b\xa4'",b'authorize authorizes authorizing authorized'
199,b'demote',"b'v. \xea\xb0\x95\xeb\x93\xb1\xec\x8b\x9c\xed\x82\xa4\xeb\x8b\xa4, \xec\xa2\x8c\xec\xb2\x9c\xec\x8b\x9c\xed\x82\xa4\xeb\x8b\xa4'",b'demote demotes demoting demoted'
200,b'dependable',b'adj. \xeb\xaf\xbf\xec\x9d\x8c\xec\xa7\x81\xed\x95\x9c (= reliable)',b'dependable dependables dependabling dependabled'
201,b'dismiss',b'v. \xed\x95\xb4\xea\xb3\xa0\xed\x95\x98\xeb\x8b\xa4',b'dismiss dismisses dismissing dismissed'
202,b'dismissal',b'n. \xed\x95\xb4\xea\xb3\xa0',b'dismissal dismissals dismissalling dismissalled'
203,b'empower',b'v. \xea\xb6\x8c\xed\x95\x9c\xec\x9d\x84 \xec\xa3\xbc\xeb\x8b\xa4',b'empower empowers empowering empowered'
204,b'expertise',b'n. \xec\xa0\x84\xeb\xac\xb8 \xec\xa7\x80\xec\x8b\x9d[\xea\xb8\xb0\xec\x88\xa0]',b'expertise expertises expertising expertised'
205,b'feat',"b'n. \xec\x9c\x84\xec\x97\x85, \xec\x97\x85\xec\xa0\x81 (= achievement)'",b'feat feats feating feated'
206,b'honorable',"b'adj. \xea\xb3\xa0\xea\xb2\xb0\xed\x95\x9c, \xeb\xaa\x85\xec\x98\x88\xeb\xa1\x9c\xec\x9a\xb4'",b'honorable honorables honorabling honorabled'
207,b'industrious',"b'adj. \xea\xb7\xbc\xeb\xa9\xb4\xed\x95\x9c (= hardworking, diligent)'",b'industriou industrious industriouing industrioued'
208,b'leadership',"b'n. \xec\xa7\x80\xeb\x8f\x84\xeb\xa0\xa5, \xed\x86\xb5\xec\x86\x94\xeb\xa0\xa5'",b'leadership leaderships leadershipping leadershipped'
209,b'mandatory',b'adj. \xec\x9d\x98\xeb\xac\xb4\xec\xa0\x81\xec\x9d\xb8 (= compulsory)',b'mandatory mandatories mandatorying mandatoried'
210,b'nominate',"b'v. \xec\xb6\x94\xec\xb2\x9c\xed\x95\x98\xeb\x8b\xa4, \xec\xa7\x80\xeb\xaa\x85\xed\x95\x98\xeb\x8b\xa4'",b'nominate nominates nominating nominated'
211,b'praise',b'v. \xec\xb9\xad\xec\xb0\xac\xed\x95\x98\xeb\x8b\xa4 n. \xec\xb9\xad\xec\xb0\xac',b'praise praises praising praised'
212,b'predecessor',b'n. \xec\xa0\x84\xec\x9e\x84\xec\x9e\x90',b'predecessor predecessors predecessorring predecessorred'
213,b'promotion',b'n. \xec\x8a\xb9\xec\xa7\x84',b'promotion promotions promotioning promotioned'
214,b'recognition',b'n. \xec\x9d\xb8\xec\xa0\x95',b'recognition recognitions recognitioning recognitioned'
215,b'recognize',b'v. \xec\x9d\xb8\xec\xa0\x95\xed\x95\x98\xeb\x8b\xa4',b'recognize recognizes recognizing recognized'
216,b'reinstate',b'v. \xeb\xb3\xb5\xea\xb7\x80\xec\x8b\x9c\xed\x82\xa4\xeb\x8b\xa4',b'reinstate reinstates reinstating reinstated'
217,b'resign',"b'v. \xec\x82\xac\xec\x9e\x84\xed\x95\x98\xeb\x8b\xa4, \xec\x82\xac\xec\xa7\x81\xed\x95\x98\xeb\x8b\xa4'",b'resign resigns resigning resigned'
218,b'resourceful',"b'adj. \xec\x88\x98\xeb\x8b\xa8\xec\x9d\xb4 \xec\xa2\x8b\xec\x9d\x80, \xea\xb8\xb0\xec\xa7\x80\xea\xb0\x80 \xec\x9e\x88\xeb\x8a\x94'",b'resourceful resourcefuls resourcefulling resourcefulled'
219,b'retirement',"b'n. \xec\x9d\x80\xed\x87\xb4, \xed\x87\xb4\xec\xa7\x81'",b'retirement retirements retirementing retiremented'
220,b'retire',"b'v. \xec\x9d\x80\xed\x87\xb4\xed\x95\x98\xeb\x8b\xa4, \xed\x87\xb4\xec\xa7\x81\xed\x95\x98\xeb\x8b\xa4'",b'retire retires retiring retired'
221,b'retiree',b'n. \xed\x87\xb4\xec\xa7\x81\xec\x9e\x90',b'retiree retirees retireeing retireeed'
222,b'skilled',b'adj. \xeb\x8a\xa5\xec\x88\x99\xed\x95\x9c',b'skil skils skilling skilled'
223,b'successor',"b'n. \xed\x9b\x84\xec\x9e\x84\xec\x9e\x90, \xea\xb3\x84\xec\x8a\xb9\xec\x9e\x90'",b'successor successors successorring successorred'
224,b'tenure',b'n. \xec\x9e\xac\xec\x9e\x84 \xea\xb8\xb0\xea\xb0\x84',b'tenure tenures tenuring tenured'
225,b'transfer',b'v. \xec\xa0\x84\xea\xb7\xbc \xea\xb0\x80\xeb\x8b\xa4',b'transfer transfers transferring transferred'
226,b'underestimate',b'v. \xea\xb3\xbc\xec\x86\x8c\xed\x8f\x89\xea\xb0\x80\xed\x95\x98\xeb\x8b\xa4',b'underestimate underestimates underestimating underestimated'
227,b'accommodations',b'n. \xec\x88\x99\xeb\xb0\x95\xec\x8b\x9c\xec\x84\xa4',b'accommodation accommodations accommodationing accommodationed'
228,b'accountant',b'n. \xed\x9a\x8c\xea\xb3\x84\xec\x82\xac',b'accountant accountants accountanting accountanted'
229,b'airfare',b'n. \xed\x95\xad\xea\xb3\xb5\xeb\xa3\x8c',b'airfare airfares airfaring airfared'
230,b'anticipate',b'v. \xec\x98\x88\xec\x83\x81\xed\x95\x98\xeb\x8b\xa4',b'anticipate anticipates anticipating anticipated'
231,b'approve',b'v. \xec\x8a\xb9\xec\x9d\xb8\xed\x95\x98\xeb\x8b\xa4',b'approve approves approving approved'
232,b'approval',b'n. \xec\x8a\xb9\xec\x9d\xb8',b'approval approvals approvalling approvalled'
233,b'authorization',"b'n. \xed\x97\x88\xea\xb0\x80, \xec\x9d\xb8\xea\xb0\x80'",b'authorization authorizations authorizationing authorizationed'
234,b'budget',b'n. \xec\x98\x88\xec\x82\xb0',b'budget budgets budgeting budgeted'
235,b'cost-effective',b'adj. \xeb\xb9\x84\xec\x9a\xa9 \xed\x9a\xa8\xec\x9c\xa8\xec\x9d\xb4 \xeb\x86\x92\xec\x9d\x80',b'cost-effective cost-effectives cost-effectiving cost-effectived'
236,b'cut',"b'n. \xec\x82\xad\xea\xb0\x90 v. \xec\x82\xad\xea\xb0\x90\xed\x95\x98\xeb\x8b\xa4, \xec\xa4\x84\xec\x9d\xb4\xeb\x8b\xa4'",b'cut cuts cutting'
237,b'estimate',b'n. \xea\xb2\xac\xec\xa0\x81(\xec\x84\x9c) v. \xec\xb6\x94\xec\x82\xb0\xed\x95\x98\xeb\x8b\xa4',b'estimate estimates estimating estimated'
238,b'exceed',"b'v. \xec\xb4\x88\xea\xb3\xbc\xed\x95\x98\xeb\x8b\xa4, \xeb\x84\x98\xec\x96\xb4\xec\x84\x9c\xeb\x8b\xa4'",b'exceed exceeds exceeding exceeded'
239,b'figure',"b'n. \xec\x88\x98\xec\xb9\x98, \xec\x88\xab\xec\x9e\x90'",b'figure figures figuring figured'
240,b'handle',"b'v. \xeb\x8b\xa4\xeb\xa3\xa8\xeb\x8b\xa4, \xec\xb2\x98\xeb\xa6\xac\xed\x95\x98\xeb\x8b\xa4'",b'handle handles handling handled'
241,b'include',b'v. \xed\x8f\xac\xed\x95\xa8\xed\x95\x98\xeb\x8b\xa4',b'include includes including included'
242,b'incur',b'v. \xec\xb4\x88\xeb\x9e\x98\xed\x95\x98\xeb\x8b\xa4',b'incur incurs incurring incurred'
243,b'issue',b'v. \xeb\xb0\x9c\xed\x96\x89\xed\x95\x98\xeb\x8b\xa4',b'issue issues issuing issued'
244,b'itinerary',b'n. (\xec\x97\xac\xed\x96\x89) \xec\x9d\xbc\xec\xa0\x95\xed\x91\x9c',b'itinerary itineraries itinerarying itineraried'
245,b'mistakenly',"b'adv. \xec\x9e\x98\xeb\xaa\xbb\xed\x95\x98\xec\x97\xac, \xec\x8b\xa4\xec\x88\x98\xeb\xa1\x9c'",b'mistakenly mistakenlies mistakenlying mistakenlied'
246,b'payment',b'n. \xeb\x82\xa9\xec\x9e\x85\xea\xb8\x88',b'payment payments paymenting paymented'
247,b'payroll',b'n. \xea\xb8\x89\xec\x97\xac',b'payroll payrolls payrolling payrolled'
248,b'prepaid',"b'adj. \xec\x84\xa0\xeb\x82\xa9\xeb\x90\x9c, \xec\x84\xa0\xeb\xb6\x88\xeb\x90\x9c'",b'prepay prepays prepaying prepaid'
249,b'procedure',"b'n. \xec\xa0\x88\xec\xb0\xa8, \xeb\xb0\xa9\xeb\xb2\x95'",b'procedure procedures proceduring procedured'
250,b'process',b'v. \xec\xb2\x98\xeb\xa6\xac\xed\x95\x98\xeb\x8b\xa4 n. \xea\xb3\xbc\xec\xa0\x95; \xea\xb3\xb5\xec\xa0\x95',b'process processes processing processed'
251,b'raise',"b'v. \xec\x98\xac\xeb\xa6\xac\xeb\x8b\xa4, \xec\x9d\xb8\xec\x83\x81\xed\x95\x98\xeb\x8b\xa4'",b'raise raises raising raised'
252,b'reimbursement',"b'n. \xeb\xb3\x80\xec\xa0\x9c, \xec\x83\x81\xed\x99\x98'",b'reimbursement reimbursements reimbursementing reimbursemented'
253,b'report',"b'v. \xeb\xb3\xb4\xea\xb3\xa0\xed\x95\x98\xeb\x8b\xa4, \xec\x95\x8c\xeb\xa6\xac\xeb\x8b\xa4'",b'report reports reporting reported'
254,b'settlement',"b'n. \xec\xa7\x80\xeb\xb6\x88, \xea\xb3\x84\xec\x82\xb0; \xed\x95\xa9\xec\x9d\x98'",b'settlement settlements settlementing settlemented'
255,b'submit',b'v. \xec\xa0\x9c\xec\xb6\x9c\xed\x95\x98\xeb\x8b\xa4',b'submit submits submitting submitted'
256,b'substantial',b'adj. \xec\x83\x81\xeb\x8b\xb9\xed\x95\x9c (\xec\x96\x91\xec\x9d\x98)',b'substantial substantials substantialing substantialed'
257,b'cancel',b'v. \xec\xb7\xa8\xec\x86\x8c\xed\x95\x98\xeb\x8b\xa4',b'cancel cancels cancelling cancelled'
258,b'cause',"b'n. \xeb\xaa\x85\xeb\xb6\x84, \xeb\xaa\xa9\xec\xa0\x81; \xec\x9b\x90\xec\x9d\xb8, \xec\x9d\xb4\xec\x9c\xa0'",b'cause causes causing caused'
259,b'change',"b'v. \xeb\xb0\x94\xea\xbe\xb8\xeb\x8b\xa4, \xec\x88\x98\xec\xa0\x95\xed\x95\x98\xeb\x8b\xa4 n. \xeb\xb3\x80\xed\x99\x94'",b'change changes changing changed'
260,b'commitment',"b'n. \xec\x95\xbd\xec\x86\x8d, \xec\xa0\x84\xeb\x85\x90'",b'commitment commitments commitmenting commitmented'
261,b'confirm',b'v. \xed\x99\x95\xec\x9d\xb8\xed\x95\xb4 \xec\xa3\xbc\xeb\x8b\xa4',b'confirm confirms confirming confirmed'
262,b'confirmation',b'n. \xed\x99\x95\xec\x9d\xb8',b'confirmation confirmations confirmationing confirmationed'
263,b'cooperate',b'v. \xed\x98\x91\xeb\xa0\xa5\xed\x95\x98\xeb\x8b\xa4',b'cooperate cooperates cooperating cooperated'
264,b'cooperation',"b'n. \xed\x98\x91\xeb\xa0\xa5, \xed\x98\x91\xec\xa1\xb0'",b'cooperation cooperations cooperationing cooperationed'
265,b'engagement',b'n. \xec\x95\xbd\xec\x86\x8d; \xea\xb3\xb5\xec\xa0\x81\xec\x9d\xb8 \xec\x97\x85\xeb\xac\xb4',b'engagement engagements engagementing engagemented'
266,b'ensure',b'v. \xeb\xb0\x98\xeb\x93\x9c\xec\x8b\x9c ~\xed\x95\x98\xea\xb2\x8c\xed\x95\x98\xeb\x8b\xa4',b'ensure ensures ensuring ensured'
267,b'flexible',"b'adj. \xec\x9c\xb5\xed\x86\xb5\xec\x84\xb1\xec\x9d\xb4 \xec\x9e\x88\xeb\x8a\x94, \xec\x9c\xa0\xec\x97\xb0\xed\x95\x9c'",b'flexible flexibles flexibling flexibled'
268,b'further',b'adj. \xec\xb6\x94\xea\xb0\x80\xec\x9d\x98 adv. \xeb\x8d\x94 (\xeb\xa9\x80\xeb\xa6\xac)',b'further furthers furthering furthered'
269,b'guideline',"b'n. \xea\xb0\x80\xec\x9d\xb4\xeb\x93\x9c\xeb\x9d\xbc\xec\x9d\xb8, \xec\xa7\x80\xec\xb9\xa8'",b'guideline guidelines guidelining guidelined'
270,b'install',b'v. \xec\x84\xa4\xec\xb9\x98\xed\x95\x98\xeb\x8b\xa4',b'install instals installing installed'
271,b'installation',b'n. \xec\x84\xa4\xec\xb9\x98',b'installation installations installationing installationed'
272,b'instead',b'prep. ~ \xeb\x8c\x80\xec\x8b\xa0\xec\x97\x90',b'instead insteads insteading insteaded'
273,b'listing',"b'n. \xeb\xa6\xac\xec\x8a\xa4\xed\x8a\xb8, \xeb\xaa\x85\xeb\x8b\xa8'",b'list lists listing listed'
274,b'list',"b'n. \xeb\xa6\xac\xec\x8a\xa4\xed\x8a\xb8, \xeb\xaa\x85\xeb\x8b\xa8 v. \xeb\xaa\xa9\xeb\xa1\x9d\xec\x9d\x84 \xec\x9e\x91\xec\x84\xb1\xed\x95\x98\xeb\x8b\xa4'",b'list lists listing listed'
275,b'measures',"b'n. \xeb\xb0\xa9\xec\x95\x88, \xeb\xb0\xa9\xeb\xb2\x95, \xec\xa1\xb0\xec\xb9\x98'",b'measure measures measuring measured'
276,b'notification',"b'n. \xec\x95\x8c\xeb\xa6\xbc, \xea\xb3\xb5\xec\xa7\x80'",b'notification notifications notificationing notificationed'
277,b'observe',b'v. \xec\xa4\x80\xec\x88\x98\xed\x95\x98\xeb\x8b\xa4',b'observe observes observing observed'
278,b'participate',b'v. \xec\xb0\xb8\xea\xb0\x80\xed\x95\x98\xeb\x8b\xa4',b'participate participates participating participated'
279,b'participation',b'n. \xec\xb0\xb8\xea\xb0\x80',b'participation participations participationing participationed'
280,b'postpone',"b'v. \xeb\xaf\xb8\xeb\xa3\xa8\xeb\x8b\xa4, \xec\x97\xb0\xea\xb8\xb0\xed\x95\x98\xeb\x8b\xa4'",b'postpone postpones postponing postponed'
281,b'reach',b'v. ~\xec\x97\x90\xea\xb2\x8c \xec\x97\xb0\xeb\x9d\xbd\xed\x95\x98\xeb\x8b\xa4',b'reach reaches reaching reached'
282,b'regret',b'v. \xec\x95\x88\xed\x83\x80\xea\xb9\x9d\xea\xb2\x8c \xec\x83\x9d\xea\xb0\x81\xed\x95\x98\xeb\x8b\xa4',b'regret regrets regretting regretted'
283,b'remind',b'v. \xec\x83\x81\xea\xb8\xb0\xec\x8b\x9c\xec\xbc\x9c\xec\xa3\xbc\xeb\x8b\xa4',b'remind reminds reminding reminded'
284,b'reschedule',b'v. \xec\x9d\xbc\xec\xa0\x95\xec\x9d\x84 \xeb\xb3\x80\xea\xb2\xbd\xed\x95\x98\xeb\x8b\xa4',b'reschedule reschedules rescheduling rescheduled'
285,b'safety',b'n. \xec\x95\x88\xec\xa0\x84(\xec\x84\xb1)',b'safety safeties safetying safetied'
286,b'session',b'n. (\xed\x8a\xb9\xec\xa0\x95 \xed\x99\x9c\xeb\x8f\x99) \xec\x8b\x9c\xea\xb0\x84; \xed\x9a\x8c\xec\x9d\x98',b'session sessions sessioning sessioned'
287,b'unexpected',b'adj. \xec\x98\x88\xea\xb8\xb0\xec\xb9\x98 \xeb\xaa\xbb\xed\x95\x9c',b'unexpect unexpects unexpecting unexpected'
288,b'unforeseen',"b'adj. \xeb\x9c\xbb\xeb\xb0\x96\xec\x9d\x98, \xec\x98\x88\xec\xb8\xa1\xed\x95\x98\xec\xa7\x80 \xeb\xaa\xbb\xed\x95\x9c'",b'unforeseen unforeseens unforeseening unforeseened'
289,b'update',"b'n. \xec\xb5\x9c\xec\x8b\xa0\xec\xa0\x95\xeb\xb3\xb4 v. \xec\x97\x85\xeb\x8d\xb0\xec\x9d\xb4\xed\x8a\xb8\xed\x95\x98\xeb\x8b\xa4, \xea\xb0\xb1\xec\x8b\xa0\xed\x95\x98\xeb\x8b\xa4'",b'update updates updating updated'
290,b'accurate',b'adj. \xec\xa0\x95\xed\x99\x95\xed\x95\x9c',b'accurate accurates accurating accurated'
291,b'attachment',"b'n. \xeb\xb6\x80\xec\xb0\xa9(\xeb\xac\xbc), \xec\xb2\xa8\xeb\xb6\x80\xeb\xac\xbc'",b'attachment attachments attachmenting attachmented'
292,b'attention',"b'n. \xec\xa3\xbc\xec\x9d\x98, \xec\xa3\xbc\xeb\xaa\xa9'",b'attention attentions attentioning attentioned'
293,b'attentive',b'adj. \xec\xa3\xbc\xec\x9d\x98\xeb\xa5\xbc \xea\xb8\xb0\xec\x9a\xb8\xec\x9d\xb4\xeb\x8a\x94',b'attentive attentives attentiving attentived'
294,b'attire',"b'n. \xec\x9d\x98\xeb\xb3\xb5, \xeb\xb3\xb5\xec\x9e\xa5'",b'attire attires attiring attired'
295,b'challenging',b'adj. \xeb\x8f\x84\xec\xa0\x84\xec\x9d\x84 \xec\x9a\x94\xed\x95\x98\xeb\x8a\x94',b'challenge challenges challenging challenged'
296,b'colleague',b'n. \xeb\x8f\x99\xeb\xa3\x8c',b'colleague colleagues colleagueing colleagueed'
297,b'commuter',b'n. \xed\x86\xb5\xea\xb7\xbc\xec\x9e\x90',b'commuter commuters commuterring commuterred'
298,b'demanding',"b'adj. \xed\x9e\x98\xeb\x93\xa0, \xea\xb9\x8c\xeb\x8b\xa4\xeb\xa1\x9c\xec\x9a\xb4'",b'demand demands demanding demanded'
299,b'document',"b'n. \xec\x84\x9c\xeb\xa5\x98, \xeb\xac\xb8\xec\x84\x9c'",b'document documents documenting documented'
300,b'documentation',b'n. \xec\xa6\x9d\xeb\xb9\x99 \xec\x84\x9c\xeb\xa5\x98',b'documentation documentations documentationing documentationed'
301,b'duty',"b'n. \xec\xa7\x81\xeb\xac\xb4, \xec\x9d\x98\xeb\xac\xb4'",b'duty duties dutying dutied'
302,b'facilitate',b'v. \xea\xb0\x80\xeb\x8a\xa5[\xec\x9a\xa9\xec\x9d\xb4]\xed\x95\x98\xea\xb2\x8c \xed\x95\x98\xeb\x8b\xa4',b'facilitate facilitates facilitating facilitated'
303,b'generate',b'v. \xeb\xb0\x9c\xec\x83\x9d\xec\x8b\x9c\xed\x82\xa4\xeb\x8b\xa4',b'generate generates generating generated'
304,b'momentum',"b'n. \xed\x83\x84\xeb\xa0\xa5, \xea\xb0\x80\xec\x86\x8d\xeb\x8f\x84'",b'momentum momentums momentumming momentummed'
305,b'motivate',b'v. \xeb\x8f\x99\xea\xb8\xb0\xeb\xa5\xbc \xeb\xb6\x80\xec\x97\xac\xed\x95\x98\xeb\x8b\xa4',b'motivate motivates motivating motivated'
306,b'operate',"b'v. \xec\xa1\xb0\xec\x9e\x91\xed\x95\x98\xeb\x8b\xa4, \xea\xb0\x80\xeb\x8f\x99\xed\x95\x98\xeb\x8b\xa4'",b'operate operates operating operated'
307,b'paperwork',b'n. \xeb\xac\xb8\xec\x84\x9c \xec\x97\x85\xeb\xac\xb4',b'paperwork paperworks paperworking paperworked'
308,b'productivity',b'n. \xec\x83\x9d\xec\x82\xb0\xec\x84\xb1',b'productivity productivities productivitying productivitied'
309,b'refreshing',"b'adj. \xec\x8b\xa0\xec\x84\xa0\xed\x95\x9c, \xec\x9b\x90\xea\xb8\xb0\xeb\xa5\xbc \xeb\xb6\x81\xeb\x8f\x8b\xec\x9a\xb0\xeb\x8a\x94'",b'refresh refreshes refreshing refreshed'
310,b'supervisor',b'n. \xea\xb4\x80\xeb\xa6\xac\xec\x9e\x90',b'supervisor supervisors supervisorring supervisorred'
311,b'supervise',b'v. \xea\xb4\x80\xeb\xa6\xac\xed\x95\x98\xeb\x8b\xa4',b'supervise supervises supervising supervised'
312,b'workforce',b'n. \xec\x9d\xb8\xeb\xa0\xa5',b'workforce workforces workforcing workforced'
313,b'workplace',"b'n. \xec\xa7\x81\xec\x9e\xa5, \xec\x9d\xbc\xed\x84\xb0'",b'workplace workplaces workplacing workplaced'
314,b'acknowledge',b'v. \xec\x9d\xb8\xec\xa0\x95\xed\x95\x98\xeb\x8b\xa4',b'acknowledge acknowledges acknowledging acknowledged'
315,b'anniversary',b'n. \xea\xb8\xb0\xeb\x85\x90\xec\x9d\xbc',b'anniversary anniversaries anniversarying anniversaried'
316,b'award',"b'n. \xec\x83\x81, \xec\x83\x81\xed\x8c\xa8 v. \xec\x88\x98\xec\x97\xac\xed\x95\x98\xeb\x8b\xa4, \xec\xa3\xbc\xeb\x8b\xa4'",b'award awards awarding awarded'
317,b'banquet',b'n. \xec\x97\xb0\xed\x9a\x8c',b'banquet banquets banqueting banqueted'
318,b'celebration',b'n. \xea\xb8\xb0\xeb\x85\x90 \xed\x96\x89\xec\x82\xac',b'celebration celebrations celebrationing celebrationed'
319,b'citation',b'n. \xed\x91\x9c\xec\xb0\xbd\xec\x9e\xa5; \xec\x9d\xb8\xec\x9a\xa9\xeb\xac\xb8',b'citation citations citationing citationed'
320,b'commemorate',b'v. \xea\xb8\xb0\xeb\x85\x90\xed\x95\x98\xeb\x8b\xa4',b'commemorate commemorates commemorating commemorated'
321,b'congratulate',b'v. \xec\xb6\x95\xed\x95\x98\xed\x95\x98\xeb\x8b\xa4',b'congratulate congratulates congratulating congratulated'
322,b'convene',"b'v. \xed\x9a\x8c\xed\x95\xa9\xed\x95\x98\xeb\x8b\xa4, \xec\x86\x8c\xec\xa7\x91\xed\x95\x98\xeb\x8b\xa4'",b'convene convenes convening convened'
323,b'dedication',"b'n. \xed\x97\x8c\xec\x8b\xa0, \xec\xa0\x84\xeb\x85\x90'",b'dedication dedications dedicationing dedicationed'
